n_snp,var_cos,cache_pool_cos,ref_pool_cos,cache_relerr,ref_relerr
1,1.0000001192092896,0.9999988079071045,0.9999984502792358,0.001670953817665577,0.0017715973081067204
1,1.0,0.9999986886978149,0.9999983906745911,0.0017793599981814623,0.001959719927981496
1,1.0,0.999995768070221,0.999995768070221,0.003455363679677248,0.0034134318120777607
1,1.0,0.999998927116394,0.9999985098838806,0.0016485770465806127,0.0018818761454895139
1,0.9999998807907104,0.9999969005584717,0.9999964237213135,0.0028418709989637136,0.0029709406662732363
2,0.9999911785125732,0.9999985694885254,0.9999977350234985,0.0017532125348225236,0.0021800873801112175
1,0.9999998807907104,0.9999995827674866,0.9999984502792358,0.0009573320276103914,0.001740164472721517
1,1.0,0.99996417760849,0.9999638199806213,0.009876333177089691,0.010024553164839745
2,0.9999721050262451,0.9999521374702454,0.9999496936798096,0.011744796298444271,0.01215953566133976
1,0.9999999403953552,0.9999950528144836,0.9999940395355225,0.0034744415897876024,0.003806484630331397
1,0.9999999403953552,0.9999961256980896,0.9999961256980896,0.0035924753174185753,0.003606202779337764
1,1.0,0.999997079372406,0.9999966621398926,0.0025114172603935003,0.0026554681826382875
1,0.9999998211860657,0.9999953508377075,0.9999949336051941,0.003069855272769928,0.003203335916623473
1,1.0,0.9999984502792358,0.9999983310699463,0.0025859796442091465,0.00256674294359982
1,0.9999998807907104,0.999998152256012,0.9999979734420776,0.0022596903145313263,0.0023197547998279333
1,0.9999998807907104,0.9999988079071045,0.9999985694885254,0.001555214636027813,0.001693453872576356
1,0.9999998807907104,0.9999995231628418,0.9999995231628418,0.0010923176305368543,0.0013730456121265888
1,0.9999999403953552,0.9999982714653015,0.999998152256012,0.002000940963625908,0.002106194384396076
1,1.0000001192092896,0.9999966621398926,0.999996542930603,0.0029447688721120358,0.0030867517925798893
1,1.0000001192092896,0.9999997615814209,0.9999995827674866,0.0008432810427621007,0.0009541352046653628
1,1.0,0.9999982118606567,0.9999979734420776,0.0019455740693956614,0.002057846402749419
1,1.0,0.9999998807907104,0.9999998807907104,0.0004675877862609923,0.0005029417807236314
3,0.9999095797538757,0.9999648332595825,0.9999641180038452,0.008616178296506405,0.008636163547635078
2,0.9999997615814209,0.9999997615814209,0.9999997019767761,0.0008639844018034637,0.0009375892113894224
2,0.9998677372932434,0.999966025352478,0.999964714050293,0.008495848625898361,0.008562694303691387
2,0.9999966621398926,0.9999632239341736,0.9999624490737915,0.008751810528337955,0.008814007975161076
1,1.0,0.999993622303009,0.9999935626983643,0.003951780963689089,0.003981546964496374
1,1.0,0.9999964237213135,0.9999958872795105,0.0027256670873612165,0.0028773387894034386
